harvest_id,farm_raw,house_id,harvest_date,client_raw,crop_raw,quantity_g
1,神奈川農園,A,2026-08-15,海老名企業,ベビーリーフ,450
2,さいたま農園,A,2026-08-15,大宮企業,ベビーリーフ,500
3,神奈川農園,B,2026-08-16,海老名企業,ミニトマト,1000
3,さいたま農園,B,2026-08-16,浦和企業,ミニトマト,1500
4,神奈川農園,B,2026/08/17,海老名企業,,400
5,神奈川農園,C,2026-08-17,相模原企業,ベビーリーフ,５００
6,さいたま農園,A,2026-08-１７,おおみや企業,サツマイモ,6000
7,神奈川農園,C,2026-08-18,大宮企業,ベビーリーフ,800
8,東北農園,a,2026-08-19,名取企業,BL,900
9,東北農園,A,2026-08-20,名取企業,ベビーリーフ,1500
10,さいあたま農園,C,20260820,浦和,ミニトマト,10000
11,神奈川農園,A,2026-08-15,海老名企業,ベビーリーフ,6000
12,神奈川農園,A,2026-08-15,海老名企業,ベビーリーフ,450
